city_state,id_num,population,crime_rate,rental_rate,walk_score
"Loyalton, California",378,1146.0,46.36,2477.6,44.5
"Loyola, California",379,3329.0,46.36,2477.6,44.5
"Lucas Valley-Marinwood, California",380,7056.0,46.36,2477.6,44.5
"Lucerne, California",381,3222.0,46.36,2477.6,44.5
"Lucerne Valley, California",382,5447.0,46.36,2477.6,44.5
"Lynwood, California",383,71646.0,26.1,2477.6,69.0
"Lytle Creek, California",384,852.0,46.36,2477.6,44.5
"Mabie, California",385,10.0,46.36,2477.6,44.5
"McArthur, California",386,500.0,46.36,2477.6,44.5
"McClellan Park, California",387,1042.0,46.36,2477.6,44.5
"McClenney Tract, California",388,45.0,46.36,2477.6,44.5
"McCloud, California",389,994.0,46.36,2477.6,44.5
"Macdoel, California",390,73.0,46.36,2477.6,44.5
"McFarland, California",391,15038.0,46.36,2477.6,44.5
"McGee Creek, California",392,6.0,46.36,2477.6,44.5
"McKinleyville, California",393,16884.0,46.36,2477.6,44.5
"McKittrick, California",394,132.0,46.36,2477.6,44.5
"McSwain, California",395,4500.0,46.36,2477.6,44.5
"Madera, California",396,66431.0,26.4,2477.6,44.0
"Madera Acres, California",397,10275.0,46.36,2477.6,44.5
"Madison, California",398,711.0,46.36,2477.6,44.5
"Mad River, California",399,500.0,46.36,2477.6,44.5
"Magalia, California",400,12257.0,46.36,2477.6,44.5
"Malaga, California",401,1439.0,46.36,2477.6,44.5
"Malibu, California",402,12795.0,32.3,2477.6,44.5
"Mammoth Lakes, California",403,8134.0,12.4,2477.6,44.5
"Manchester, California",404,195.0,46.36,2477.6,44.5
"Manhattan Beach, California",405,35900.0,25.0,2477.6,72.0
"Manila, California",406,765.0,46.36,2477.6,44.5
"Manteca, California",407,81726.0,31.4,2477.6,41.0
"Manton, California",408,424.0,46.36,2477.6,44.5
"March ARB, California",409,1190.0,46.36,2477.6,44.5
"Maricopa, California",410,1149.0,46.36,2477.6,44.5
"Marina, California",411,22340.0,16.3,2477.6,44.0
"Marina del Rey, California",412,10075.0,46.36,2477.6,44.5
"Marin City, California",413,3278.0,46.36,2477.6,44.5
"Mariposa, California",414,902.0,46.36,2477.6,44.5
"Markleeville, California",415,121.0,46.36,2477.6,44.5
"Martell, California",416,409.0,46.36,2477.6,44.5
"Martinez, California",417,39089.0,15.4,2477.6,38.0
"Marysville, California",418,12252.0,51.8,2477.6,44.5
"Matheny, California",419,1110.0,46.36,2477.6,44.5
"Mather, California",420,4210.0,46.36,2477.6,44.5
"Maxwell, California",421,1058.0,46.36,2477.6,44.5
"Mayfair, California",422,5224.0,46.36,2477.6,44.5
"Mayflower Village, California",423,5769.0,46.36,2477.6,44.5
"Maywood, California",424,27587.0,14.1,2477.6,78.0
"Meadowbrook, California",425,3155.0,46.36,2477.6,44.5
"Meadow Valley, California",426,316.0,46.36,2477.6,44.5
"Meadow Vista, California",427,3552.0,46.36,2477.6,44.5
"Mead Valley, California",428,21181.0,46.36,2477.6,6.0
"Mecca, California",429,7389.0,46.36,2477.6,44.5
"Meiners Oaks, California",430,3430.0,46.36,2477.6,44.5
"Mendocino, California",431,675.0,46.36,2477.6,44.5
"Mendota, California",432,11848.0,24.7,2477.6,44.5
"Menifee, California",433,94636.0,22.7,2477.6,16.0
"Menlo Park, California",434,34863.0,18.7,2477.6,57.0
"Mentone, California",435,10490.0,46.36,2477.6,44.5
"Merced, California",436,84354.0,32.1,2477.6,38.0
"Meridian, California",437,408.0,46.36,2477.6,44.5
"Mesa, California",438,271.0,46.36,2477.6,44.5
"Mesa Verde, California",439,576.0,46.36,2477.6,44.5
"Mesa Vista, California",440,270.0,46.36,2477.6,44.5
"Mettler, California",441,134.0,46.36,2477.6,44.5
"Mexican Colony, California",442,499.0,46.36,2477.6,44.5
"Middletown, California",443,257.0,46.36,2477.6,44.5
"Midpines, California",444,1578.0,46.36,2477.6,44.5
"Midway City, California",445,9040.0,46.36,2477.6,44.5
