YEAR,City_State,POPULATION
2021,"Mountain Gate, California",735.0
2021,"Mountain House, California",19438.0
2021,"Mountain Mesa, California",1166.0
2021,"Mountain Ranch, California",1028.0
2021,"Mountain View, California",43184.0
2021,"Mountain View Acres, California",4347.0
2021,"Mount Hebron, California",80.0
2021,"Mount Hermon, California",1111.0
2021,"Mount Laguna, California",40.0
2021,"Mount Shasta, California",3219.0
2021,"Muir Beach, California",265.0
2021,"Murphys, California",2092.0
2021,"Murrieta, California",117345.0
2021,"Muscoy, California",13850.0
2021,"Myers Flat, California",18.0
2021,"Myrtletown, California",5524.0
2021,"Napa, California",80949.0
2021,"National City, California",62301.0
2021,"Needles, California",4987.0
2021,"Nevada City, California",3146.0
2021,"Newark, California",47862.0
2021,"Newcastle, California",1283.0
2021,"New Cuyama, California",757.0
2021,"Newell, California",308.0
2021,"Newman, California",11626.0
2021,"New Pine Creek, California",50.0
2021,"Newport Beach, California",87504.0
2021,"Nicasio, California",145.0
2021,"Nice, California",2483.0
2021,"Nicolaus, California",176.0
2021,"Niland, California",387.0
2021,"Nipinnawasee, California",210.0
2021,"Nipomo, California",17499.0
2021,"Norco, California",26535.0
2021,"Nord, California",404.0
2021,"Norris Canyon, California",1035.0
2021,"North Auburn, California",14398.0
2021,"North Edwards, California",793.0
2021,"North El Monte, California",3903.0
2021,"North Fair Oaks, California",14951.0
2021,"North Gate, California",668.0
2021,"North Highlands, California",50086.0
2021,"North Lakeport, California",2925.0
2021,"North Richmond, California",4454.0
2021,"North San Juan, California",332.0
2021,"North Shore, California",3555.0
2021,"North Tustin, California",25545.0
2021,"Norwalk, California",106340.0
2021,"Novato, California",57488.0
2021,"Nubieber, California",21.0
2021,"Nuevo, California",8067.0
2021,"Oakdale, California",23500.0
2021,"Oak Glen, California",494.0
2021,"Oak Hills, California",11035.0
2021,"Oakhurst, California",3407.0
2021,"Oakland, California",434328.0
2021,"Oakley, California",43346.0
2021,"Oak Park, California",14268.0
2021,"Oak Shores, California",337.0
2021,"Oak View, California",4798.0
2021,"Oakville, California",148.0
2021,"Oasis, California",2279.0
2021,"Occidental, California",688.0
2021,"Oceano, California",7761.0
2021,"Oceanside, California",179604.0
2021,"Ocotillo, California",37.0
2021,"Oildale, California",35521.0
2021,"Ojai, California",7592.0
2021,"Olancha, California",198.0
2021,"Old Fig Garden, California",5815.0
2021,"Old Station, California",61.0
2021,"Olivehurst, California",13515.0
2021,"Ontario, California",176770.0
2021,"Onyx, California",776.0
2021,"Pleasure Point, California",6768.0
2021,"Orange, California",142371.0
2021,"Orange Cove, California",10259.0
2021,"Orangevale, California",35193.0
2021,"Orcutt, California",31340.0
2021,"Orick, California",318.0
2021,"Orinda, California",20195.0
2021,"Orland, California",7738.0
2021,"Orosi, California",7386.0
2021,"Oroville, California",20504.0
2021,"Oroville East, California",6790.0
2021,"Oxnard, California",213221.0
2021,"Pacheco, California",4643.0
2021,"Pacifica, California",40013.0
2021,"Pacific Grove, California",15857.0
2021,"Pajaro, California",3910.0
