,City_State,Jan_2021
524,"Dallas-Fort Worth, Texas",1281.9879995642646
525,"Philadelphia, Pennsylvania",1708.46726117684
526,"Albuquerque, New Mexico",1438.3765769791885
527,"Atlanta, Georgia",1467.3888907996818
528,"Phoenix, Arizona",2011.8792457587122
529,"Columbus, Ohio",1298.0507059211204
530,"Portland, Oregon",1414.6811747245918
531,"Chicago, Illinois",1417.8915195609188
532,"Baltimore, Maryland",1476.9249306304243
533,"Oklahoma City, Oklahoma",1208.1767949434225
534,"San Francisco, California",3032.241656408463
535,"Riverside, California",1865.0336652671226
536,"Ventura, California",2497.4051304864415
537,"Riverside, California",1959.220983099063
538,"Phoenix, Arizona",1766.8962438635199
539,"Provo, Utah",1810.1513359942453
540,"Baltimore, Maryland",1295.393812566333
541,"Memphis, Tennessee",1037.9849223941083
542,"Dallas-Fort Worth, Texas",1829.8622916504155
543,"Miami-Fort Lauderdale, Florida",1502.5981989667607
544,"Tampa, Florida",1262.299134685998
545,"Dallas-Fort Worth, Texas",1519.4875045071851
546,"Miami-Fort Lauderdale, Florida",1490.707068861882
547,"Dallas-Fort Worth, Texas",2078.756210612057
548,"Philadelphia, Pennsylvania",1137.9076998657913
549,"Nashville, Tennessee",1497.6686513372863
550,"Bakersfield, California",1919.6602292773741
551,"Albuquerque, New Mexico",1059.0881128718124
552,"New York, New York",2183.629300632332
553,"Minneapolis-St Paul, Minnesota",1405.3579373510877
554,"Colorado Springs, Colorado",1690.5905820441355
555,"Urban Honolulu, Hawaii",2132.8685651916676
556,"Denver, Colorado",1616.0363534827648
557,"Louisville-Jefferson County, Kentucky",1020.4040494762643
558,"Los Angeles-Long Beach-Anaheim, California",3381.7169031312033
559,"Washington, District of Columbia",2082.3014531024132
560,"Melbourne, Florida",1408.8329786672944
561,"San Diego, California",2388.472558844612
562,"Daytona Beach, Florida",1502.8382895842055
563,"Las Vegas, Nevada",1213.22661147207
564,"Houston, Texas",1274.477202840622
565,"Orlando, Florida",1609.1785551691642
566,"St. Louis, Missouri",1193.0385177994335
567,"Charlotte, North Carolina",1567.1118467430388
568,"Tampa, Florida",1539.0038470822083
569,"New York, New York",2015.1730655099796
570,"Philadelphia, Pennsylvania",1606.8054560483251
571,"Washington, District of Columbia",1980.895490047873
572,"Raleigh, North Carolina",1453.4260220483593
573,"Denver, Colorado",1698.9526139142945
574,"Dallas-Fort Worth, Texas",1523.4567891772383
575,"Miami-Fort Lauderdale, Florida",1567.0178015883582
576,"Knoxville, Tennessee",1473.6294260781847
577,"Philadelphia, Pennsylvania",1778.3502086293115
578,"Wichita, Kansas",980.185844818647
579,"Seattle, Washington",1857.0558249424405
580,"Miami-Fort Lauderdale, Florida",1622.8921848660627
581,"Los Angeles-Long Beach-Anaheim, California",3036.8696285937863
582,"Houston, Texas",1642.6526474383938
583,"Ventura, California",3077.776662534963
584,"Raleigh, North Carolina",1491.1792592806132
585,"San Diego, California",2046.8080236022788
586,"Dallas-Fort Worth, Texas",2281.782398603139
587,"Oklahoma City, Oklahoma",974.990778468355
588,"Orlando, Florida",1683.4746345324104
589,"New York, New York",2699.4935997602265
590,"Phoenix, Arizona",1564.7001951648838
591,"Dayton, Ohio",960.3259115119909
592,"Nashville, Tennessee",1710.9534709894563
593,"Birmingham, Alabama",1205.9958415471892
594,"New York, New York",3204.8237731923623
595,"Columbia, South Carolina",1407.997949277422
596,"Columbus, Ohio",1143.0860085905713
597,"Tampa, Florida",1451.4303509852464
598,"San Antonio, Texas",1470.1294957121927
599,"Fort Collins, Colorado",1647.8303689556983
600,"Jacksonville, Florida",1303.8602074386208
601,"Denver, Colorado",1875.1814551420205
602,"Detroit, Michigan",1509.340029355003
603,"Atlanta, Georgia",1446.0937483804828
604,"Raleigh, North Carolina",1300.6724368863859
605,"Charlotte, North Carolina",1579.8372232003953
606,"Fort Collins, Colorado",1628.664844597782
607,"Cleveland, Ohio",1026.087897712193
